lon,lat,E,N,chainage1,chainage2,deltaE,deltaN,heading1,heading_medfilt,heading_movmean,piecenum,rad_heading_movmean,rad_delta_heading
113.17887,37.81474,0,0,63.32,0,-4.42,13.81,342.2576,341.6804,341.5295,1,5.96081359,0
113.17883,37.81487,-4.42,13.81,63.33,14.5,-4.48,13.83,342.0506,341.6804,341.5295,1,5.96081359,0
113.17878,37.81499,-8.9,27.64,63.35,29.03,-4.58,13.82,341.6804,341.6804,341.5295,1,5.96081359,-0.00285656
113.17873,37.81512,-13.47,41.46,63.36,43.6,-4.64,13.81,341.4358,341.4358,341.3658,1,5.95795703,-0.00387734
113.17868,37.81524,-18.11,55.27,63.38,58.16,-4.71,13.81,341.1703,341.1703,341.1436,1,5.95407969,-0.00512714
113.17863,37.81537,-22.82,69.08,63.39,72.75,-4.79,13.8,340.862,340.862,340.8499,1,5.94895255,-0.00510207
113.17858,37.8155,-27.61,82.87,63.41,87.36,-4.86,13.77,340.5696,340.5696,340.5575,1,5.94385048,-0.00534367
113.17853,37.81562,-32.47,96.64,63.42,101.96,-4.94,13.74,340.2116,340.2116,340.2514,2,5.93850681,-0.00516221
113.17848,37.81575,-37.41,110.39,63.44,116.56,-5.01,13.74,339.9742,339.9742,339.9556,2,5.9333446,-0.00510387
113.17842,37.81587,-42.42,124.12,63.45,131.18,-5.09,13.73,339.6395,339.6395,339.6632,2,5.92824073,-0.0047327
113.17837,37.81599,-47.51,137.85,63.47,145.82,-5.16,13.7,339.3832,339.3832,339.392,2,5.92350803,-0.0051364
113.17831,37.81612,-52.67,151.55,63.48,160.46,-5.23,13.69,339.1075,339.1075,339.0977,2,5.91837163,-0.00505979
113.17826,37.81624,-57.89,165.24,63.5,175.12,-5.29,13.67,338.8557,338.8557,338.8078,2,5.91331184,-0.00471038
113.1782,37.81637,-63.18,178.91,63.51,189.77,-5.37,13.64,338.5027,338.5027,338.5379,3,5.90860146,-0.00459616
113.17815,37.81649,-68.55,192.55,63.53,204.44,-5.45,13.63,338.19,338.19,338.2746,3,5.9040053,-0.00450489
113.17809,37.81662,-74,206.18,63.54,219.11,-5.5,13.63,338.0337,338.0337,338.0165,3,5.89950041,-0.00453437
113.17803,37.81674,-79.5,219.81,63.56,233.81,-5.56,13.61,337.7908,337.7908,337.7567,3,5.89496604,-0.0044307
113.17797,37.81686,-85.06,233.42,63.57,248.51,-5.62,13.61,337.5652,337.5652,337.5028,3,5.89053534,-0.00475531
113.17791,37.81699,-90.68,247.03,63.59,263.24,-5.71,13.58,337.2037,337.2037,337.2304,3,5.88578003,-0.00516999
113.17785,37.81711,-96.39,260.61,63.6,277.97,-5.79,13.58,336.9207,336.9207,336.9341,3,5.88061004,-0.00549989
113.17779,37.81723,-102.17,274.19,63.62,292.73,-5.85,13.56,336.6715,336.6715,336.619,3,5.87511015,-0.00481529
113.17772,37.81736,-108.02,287.75,63.63,307.49,-5.93,13.53,336.3097,336.3097,336.3431,3,5.87029486,-0.00494036
113.17766,37.81748,-113.96,301.28,63.65,322.26,-6.02,13.52,335.9896,335.9896,336.0601,3,5.8653545,-0.00477219
113.17759,37.8176,-119.98,314.8,63.66,337.07,-6.07,13.51,335.8242,335.8242,335.7866,3,5.86058231,-0.00395649
113.17753,37.81773,-126.04,328.31,63.68,351.88,-6.15,13.49,335.5053,335.5053,335.5599,3,5.85662582,-0.00330339
113.17746,37.81785,-132.19,341.8,63.69,366.7,-6.2,13.48,335.3043,335.3043,335.3707,3,5.85332243,-0.00279244
113.1774,37.81797,-138.39,355.28,63.71,381.54,-6.23,13.47,335.1762,335.1762,335.2107,3,5.85052999,-0.00167926
113.17733,37.81809,-144.62,368.75,63.72,396.38,-6.27,13.46,335.0243,335.0432,335.1145,3,5.84885073,-0.0011285
113.17726,37.81822,-150.89,382.21,63.74,411.23,-6.27,13.47,335.0432,335.0243,335.0498,3,5.84772223,-0.00075951
113.17719,37.81834,-157.16,395.68,63.75,426.08,-6.29,13.47,334.9586,335.0243,335.0063,3,5.84696272,-0.00030134
113.17713,37.81846,-163.45,409.15,63.77,440.95,-6.29,13.49,334.981,334.981,334.989,4,5.84666138,-0.00023518
113.17706,37.81859,-169.75,422.64,63.78,455.84,-6.28,13.51,335.0723,334.9586,334.9755,4,5.8464262,-0.00026528
