经度,纬度,高程,公里标,
113.0077909,37.9926133,3769.326,219,
113.0077691,37.99263412,3770.04,222,
113.0077473,37.99265493,3770.084,225,
113.0077256,37.99267575,3770.273,228,
113.0077038,37.99269656,3770.114,231,
113.007682,37.99271738,3769.237,234,
113.0076604,37.99273806,3770.31,237,
113.0076408,37.9927602,3770.645,240,
113.0076212,37.99278233,3770.352,243,
113.0076016,37.99280446,3770.968,246,
113.007582,37.9928266,3770.284,249,
113.0075624,37.99284874,3769.717,252,
113.0075428,37.99287087,3770.653,255,
113.0075232,37.99289301,3770.017,258,
113.0075036,37.99291514,3769.782,261,
113.0074841,37.99293728,3769.789,264,
113.0074645,37.99295942,3769.242,267,
113.0074449,37.99298155,3770.333,270,
113.0074253,37.99300369,3769.08,273,
113.0074057,37.99302583,3769.655,276,
113.0073861,37.99304796,3770.863,279,
113.0073665,37.9930701,3770.313,282,
113.0073469,37.99309223,3769.113,285,
113.0073273,37.99311437,3770.135,288,
113.0073078,37.9931365,3770.182,291,
113.0072882,37.99315864,3770.582,294,
113.0072671,37.99317993,3770.132,297,
113.007246,37.99320118,3770.104,300,
113.0072249,37.99322245,3769.695,303,
113.0072039,37.99324363,3770.274,306,SW5-¾­Î³¶È
113.0072068,37.99325348,3769.683,310,SW5
113.0071849,37.99327423,3769.687,313,
113.0071629,37.99329498,3769.691,316,
113.007141,37.99331572,3769.695,319,
113.007119,37.99333646,3769.698,322,
113.007097,37.99335721,3769.702,325,
113.0070751,37.99337795,3769.706,328,
113.0070531,37.99339869,3769.709,331,
113.0070312,37.99341945,3769.713,334,
113.0070092,37.99344019,3769.717,337,1G
113.0069872,37.99346093,3769.721,340,
113.0069653,37.99348168,3769.725,343,
113.0069433,37.99350242,3769.728,346,
113.0069213,37.99352316,3769.732,349,
113.0068994,37.99354391,3769.736,353,
113.0068774,37.99356466,3769.74,356,
113.0068555,37.9935854,3769.743,359,
113.0068335,37.99360615,3769.747,362,
113.0068115,37.99362689,3769.751,365,
113.0067896,37.99364764,3769.755,368,
113.0067676,37.99366838,3769.758,371,
113.0067456,37.99368912,3769.762,374,
113.0067237,37.99370987,3769.766,377,
113.0067017,37.99373062,3769.77,380,
113.0066798,37.99375136,3769.773,383,
113.0066578,37.9937721,3769.777,386,
113.0066358,37.99379285,3769.781,389,
113.0066139,37.9938136,3769.785,392,
113.0065919,37.99383435,3769.788,395,
113.0065699,37.99385509,3769.792,398,
